"","Round_FDP","VREPB","DVEPB","Welch","B_F","EV_test"
"1",1,0,0.115646258503401,0,0,0
"2",2,0,0.145077720207254,0,0,0
"3",3,0,0.0955056179775281,0,0,0
"4",4,0,0.127167630057803,0,0,0
"5",5,0,0.112903225806452,0,0,0
"6",6,0,0.136904761904762,0,0,0
"7",7,0,0.126760563380282,0,0,0
"8",8,0,0.0943396226415094,0,0,0
"9",9,0,0.128571428571429,0,0,0
"10",10,0,0.101796407185629,0,0,0
"11",11,0,0.0683229813664596,0,0,0
"12",12,0,0.143646408839779,0,0,0
"13",13,0,0.122905027932961,0,0,0
"14",14,0,0.141935483870968,0,0,0
"15",15,0,0.08125,0,0,0
"16",16,0,0.106918238993711,0,0,0
"17",17,0,0.108974358974359,0,0,0
"18",18,0,0.164021164021164,0,0,0
"19",19,0,0.0949367088607595,0,0,0
"20",20,0,0.0887573964497041,0,0,0
"21",21,0,0.0957446808510638,0,0,0
"22",22,0,0.0727272727272727,0,0,0
"23",23,0,0.122093023255814,0,0,0
"24",24,0,0.176100628930818,0,0,0
"25",25,0,0.06875,0,0,0
